0;4.183
1;4.183
2;4.183
3;4.164
4;4.164
5;4.164
6;4.164
7;4.164
8;4.164
9;4.164
10;4.164
11;4.164
12;4.164
13;4.164
14;4.164
15;4.164
16;4.164
17;4.164
18;4.164
19;4.164
20;4.164
21;4.164
22;4.164
23;4.164
24;4.164
25;4.164
26;4.164
27;4.164
28;4.164
29;4.164
30;4.164
31;4.164
32;4.164
33;4.164
34;4.164
35;4.164
36;4.164
37;4.164
38;4.164
39;4.164
40;4.164
41;4.164
42;4.164
43;4.164
44;4.169
45;4.164
46;4.154
47;4.164
48;4.159
49;4.159
50;4.159
51;4.149
52;4.164
53;4.183
54;4.183
55;4.164
56;4.154
57;4.154
58;4.164
59;4.164
60;4.164
61;4.164
62;4.164
63;4.164
64;4.164
65;4.164
66;4.164
67;4.164
68;4.164
69;4.164
70;4.164
71;4.164
72;4.164
73;4.164
74;4.164
75;4.164
76;4.164
77;4.164
78;4.164
79;4.164
80;4.164
81;4.164
82;4.164
83;4.164
84;4.164
85;4.164
86;4.164
87;4.164
88;4.164
89;4.164
90;4.159
91;4.149
92;4.149
93;4.149
94;4.164
95;4.154
96;4.164
97;4.149
98;4.159
99;4.149
100;4.154
101;4.164
102;4.164
103;4.164
104;4.183
105;4.183
106;4.164
107;4.164
108;4.164
109;4.164
110;4.164
111;4.164
112;4.164
113;4.164
114;4.164
115;4.164
116;4.164
117;4.164
118;4.164
119;4.164
120;4.164
121;4.164
122;4.164
123;4.164
124;4.164
125;4.164
126;4.164
127;4.164
128;4.164
129;4.164
130;4.164
131;4.164
132;4.164
133;4.164
134;4.164
135;4.164
136;4.154
137;4.159
138;4.149
139;4.149
140;4.149
141;4.164
142;4.159
143;4.149
144;4.154
145;4.149
146;4.159
147;4.164
148;4.164
149;4.159
150;4.183
151;4.183
152;4.164
153;4.164
154;4.154
155;4.159
156;4.164
157;4.149
158;4.159
159;4.164
160;4.164
161;4.164
162;4.164
163;4.164
164;4.164
165;4.164
166;4.164
167;4.164
168;4.164
169;4.164
170;4.164
171;4.164
172;4.164
173;4.164
174;4.164
175;4.164
176;4.164
177;4.164
178;4.164
179;4.164
180;4.164
181;4.164
182;4.164
183;4.164
184;4.149
185;4.154
186;4.164
187;4.164
188;4.164
189;4.164
190;4.149
191;4.149
192;4.154
193;4.149
194;4.159
195;4.164
196;4.149
197;4.183
198;4.183
199;4.169
200;4.159
201;4.164
202;4.164
203;4.159
204;4.164
205;4.154
206;4.164
207;4.164
208;4.149
209;4.164
210;4.159
211;4.149
212;4.159
213;4.159
214;4.149
215;4.149
216;4.149
217;4.164
218;4.159
219;4.164
220;4.154
221;4.164
222;4.164
223;4.164
224;4.164
225;4.164
226;4.164
227;4.164
228;4.164
229;4.164
230;4.164
231;4.164
232;4.164
233;4.164
234;4.164
235;4.159
236;4.164
237;4.164
238;4.159
239;4.164
